x,y,x_pix,y_pix,fiber_area,myelin_area,fiber_area_pix,myelin_area_pix,rho,rho_pix,phi,hull_vertices,perimeter,hull_vertices_w_myel,shortest_diameter,longest_diameter,shortest_diameter_w_myel,longest_diameter_w_myel,eff_fib_diam,eff_fib_diam_w_myel,median_myelin_thickness,max_myelin_thickness,myelinated,chat,unmyel_nf,nav,th_overlap_p,c_estimate_nf_frac,c_estimate_nf,c_estimate_nav,c_estimate_nav_frac
21.865,128.063,145.768,853.752,5.535,3.555,246,158,207.181,1381.207,1.167,"[[23.400,128.100],[23.100,129.000],[22.800,129.300],[22.650,129.300],[21.600,129.000],[20.700,128.700],[20.550,128.550],[20.250,128.100],[20.250,127.500],[20.400,127.350],[21.300,127.050],[22.500,127.050],[23.100,127.500],[23.400,127.950]]",8.718,"[[18.750,127.950],[19.050,127.650],[21.300,127.050],[22.500,127.050],[23.100,127.500],[23.400,127.950],[23.400,128.100],[23.250,129.450],[22.950,129.750],[22.500,130.050],[21.000,129.750],[19.800,129.450],[19.350,129.000],[18.750,128.100]]",2.016,3.146,2.864,4.507,2.655,3.402,2.105,4.65,True,True,False,False,0.0,0.0,0,,
12.954,122.887,86.358,819.247,4.275,0.585,190,26,217.413,1449.418,1.162,"[[14.400,123.300],[12.150,124.200],[12.000,124.050],[11.850,123.450],[11.850,122.400],[12.000,121.950],[12.450,121.800],[12.750,121.800],[14.400,122.550],[14.700,122.850],[14.700,123.000]]",8.364,"[[13.500,124.800],[13.350,124.800],[12.150,124.200],[12.000,124.050],[11.850,123.450],[11.850,122.400],[12.000,121.950],[12.450,121.800],[12.750,121.800],[14.400,122.550],[14.700,122.850],[14.700,123.000]]",1.997,2.786,2.359,3.021,2.333,2.488,1.078,3.106,True,False,False,False,0.0,0.0,0,,
19.058,123.579,127.051,823.859,2.228,0.135,99,6,211.545,1410.302,1.153,"[[17.850,123.300],[18.150,123.000],[18.600,122.850],[19.950,123.450],[20.400,123.750],[20.400,123.900],[20.250,124.050],[19.800,124.200],[19.650,124.200],[18.150,123.900]]",6.104,"[[18.150,123.900],[17.850,123.300],[18.150,123.000],[18.600,122.850],[19.950,123.450],[20.400,123.750],[20.400,123.900],[20.250,124.050],[19.050,124.500],[18.600,124.500]]",0.984,2.5,1.436,2.5,1.684,1.734,0.0,0.0,True,True,False,False,0.0,0.0,0,,
23.088,135.895,153.92,905.964,2.52,5.985,112,266,203.093,1353.953,1.2,"[[24.150,135.450],[24.300,135.900],[24.300,136.050],[24.150,136.200],[23.700,136.500],[22.950,136.500],[22.200,136.200],[21.750,135.750],[21.750,135.600],[21.900,135.450]]",6.184,"[[22.650,137.400],[20.700,136.200],[20.400,135.900],[20.400,135.300],[21.900,134.100],[22.350,134.100],[23.400,134.250],[24.300,134.550],[24.450,134.850],[24.750,135.900],[24.750,136.200],[23.400,137.400]]",1.054,2.485,3.193,4.357,1.791,3.291,0.934,1.605,True,True,False,False,0.0,0.0,0,,
16.527,137.741,110.179,918.274,2.137,1.507,95,67,208.581,1390.541,1.22,"[[16.350,138.300],[15.750,138.000],[15.450,137.700],[15.450,137.400],[15.750,137.250],[17.100,137.250],[17.550,137.700],[17.550,137.850],[17.400,138.150],[17.250,138.300]]",5.314,"[[14.850,137.400],[14.850,136.500],[15.150,136.500],[16.050,136.650],[17.100,137.250],[17.550,137.700],[17.550,137.850],[17.400,138.450],[16.950,138.750],[16.800,138.750],[15.300,138.600],[15.150,138.450]]",1.054,2.099,1.732,3.02,1.65,2.154,0.468,1.191,True,False,False,False,0.0,0.0,0,,
13.965,137.887,93.098,919.244,0.922,7.245,41,322,210.94,1406.266,1.225,"[[14.400,138.600],[13.800,138.300],[13.500,137.850],[13.500,137.400],[14.100,137.400],[14.250,137.550],[14.400,138.150]]",3.542,"[[14.700,136.500],[15.150,138.600],[14.550,139.200],[14.100,139.200],[13.350,139.050],[12.150,138.150],[11.850,137.700],[11.700,137.400],[11.550,136.200],[11.850,135.900],[13.650,136.200]]",0.739,1.331,2.476,4.18,1.084,3.176,1.081,3.479,True,False,False,False,0.0,0.0,0,,
19.245,131.532,128.303,876.877,8.235,3.218,366,143,208.271,1388.475,1.188,"[[16.950,129.600],[16.950,129.450],[17.100,129.300],[17.550,129.300],[18.000,129.450],[20.700,130.650],[21.300,130.950],[21.300,131.100],[20.850,133.200],[19.800,133.200],[18.600,132.900],[18.150,132.600]]",13.268,"[[16.950,129.450],[17.100,129.300],[18.600,128.100],[20.700,129.600],[20.850,129.750],[21.300,130.950],[21.900,133.650],[21.900,133.800],[21.750,133.950],[18.600,132.900],[18.150,132.600],[16.950,129.600]]",2.901,5.124,3.554,6.179,3.238,3.819,1.017,1.767,True,True,False,False,0.0,0.0,0,,
19.141,137.041,127.607,913.607,0.63,1.125,28,50,206.372,1375.816,1.213,"[[18.750,137.250],[18.750,136.950],[19.050,136.650],[19.350,136.650],[19.500,136.950],[19.500,137.250],[19.350,137.400],[19.050,137.400]]",2.507,"[[18.750,137.250],[18.750,136.200],[18.900,136.050],[20.250,135.600],[20.400,136.050],[20.400,136.350],[19.950,137.400],[19.800,137.700],[19.650,137.700]]",0.745,0.795,1.304,2.069,0.896,1.495,0.479,2.141,True,False,False,False,0.0,0.0,0,,
23.144,132.234,154.297,881.559,3.262,4.59,145,204,204.394,1362.627,1.184,"[[24.450,132.900],[24.300,133.050],[23.700,133.050],[22.950,132.900],[22.500,132.600],[21.900,132.150],[21.750,132.000],[21.750,131.250],[23.100,131.550],[23.850,131.850],[24.300,132.150],[24.450,132.300]]",7.374,"[[21.900,133.950],[21.600,132.300],[21.750,131.250],[23.400,131.100],[25.350,131.850],[25.500,132.000],[25.500,132.600],[25.350,133.650],[25.200,133.800],[24.150,134.100],[22.500,134.100]]",1.294,3.013,2.989,4.136,2.038,3.162,0.789,1.444,True,True,False,False,0.0,0.0,0,,
22.456,138.766,149.704,925.108,4.792,10.62,213,472,202.664,1351.093,1.215,"[[24.450,139.200],[24.450,139.950],[24.150,140.250],[23.850,140.250],[20.550,138.900],[20.250,138.150],[20.550,137.550],[20.700,137.400],[21.300,137.400],[21.600,137.550],[23.700,138.750]]",10.959,"[[25.200,140.550],[23.250,142.500],[21.000,139.950],[19.950,138.000],[19.950,137.550],[20.400,136.500],[20.550,136.200],[21.600,136.650],[23.400,137.550],[24.600,138.750],[24.750,139.050]]",1.486,4.483,3.408,6.245,2.47,4.42,0.89,2.635,True,True,False,False,0.0,0.0,0,,
